,movie_id,title,year,mpaa,director,main_actor_1,main_actor_2,main_actor_3,main_actor_4,genre_1,runtime_conv,full_date,infl_budget,infl_domestic,infl_worldwide
1933,tt1078912,Night at the Museum: Battle of the Smithsonian,2009,PG,Shawn Levy,Ben Stiller,Owen Wilson,Amy Adams,Hank Azaria,Adventure,105,2009-05-20,189456830.2903462,223866890.4635098,521771903.610566
1934,tt1078940,Couples Retreat,2009,PG-13,Peter Billingsley,Vince Vaughn,Malin Akerman,Jon Favreau,Jason Bateman,Comedy,113,2009-10-08,88413187.46882823,137930818.21154395,217047857.9210113
1935,tt1080016,Ice Age: Dawn of the Dinosaurs,2009,PG,Carlos Saldanha,Ray Romano,John Leguizamo,Denis Leary,Eunice Cho,Adventure,94,2009-06-29,113674098.17420773,248281540.45153052,1119925825.3937085
1936,tt1082807,The Belko Experiment,2016,R,Greg McLean,John Gallagher Jr.,Tony Goldwyn,Adria Arjona,John C. McGinley,Horror,89,2016-03-16,5645043.686225819,11478428.609998874,12514644.11912986
1937,tt1082868,Quarantine,2008,R,John Erick Dowdle,Jennifer Carpenter,Steve Harris,Columbus Short,Jay Hernandez,Horror,89,2008-10-10,15102622.815288223,39885788.98886686,52003246.256763734
1938,tt1083452,Eddie the Eagle,2015,PG-13,Dexter Fletcher,Taron Egerton,Hugh Jackman,Tom Costello,Jo Hartley,Biography,106,2015-02-26,26294780.543167796,18051239.941987287,52764249.88924846
1939,tt1083456,Fired Up!,2009,PG-13,Will Gluck,Eric Christian Olsen,Nicholas D'Agosto,Sarah Roemer,Molly Sims,Comedy,90,2009-02-20,25260910.705379494,21763905.164470464,23491512.74111226
1940,tt1086772,Blended,2014,PG-13,Frank Coraci,Adam Sandler,Drew Barrymore,Wendi McLendon-Covey,Kevin Nealon,Comedy,117,2014-05-22,45784333.60367668,52989196.70730265,146503698.09281227
1941,tt1091191,Lone Survivor,2013,R,Peter Berg,Mark Wahlberg,Taylor Kitsch,Emile Hirsch,Ben Foster,Action,121,2013-12-25,46527041.4711728,145508205.38970715,180063037.66205785
1942,tt1092026,Paul,2011,R,Greg Mottola,Simon Pegg,Nick Frost,Seth Rogen,Mia Stallard,Adventure,104,2011-02-18,48185508.071077056,45069044.08150655,118035238.64047588
1943,tt1092633,"The Goods: Live Hard, Sell Hard",2009,R,Neal Brennan,Jeremy Piven,Ving Rhames,David Koechner,James Brolin,Comedy,89,2009-08-14,12630455.352689747,19100628.403119277,19325714.484914023
1944,tt1093357,The Darkest Hour,2011,PG-13,Chris Gorak,Emile Hirsch,Olivia Thirlby,Max Minghella,Rachael Taylor,Action,89,2011-12-22,36139131.053307794,25831641.330227308,77851862.96026924
1945,tt1095217,Bad Lieutenant: Port of Call New Orleans,2009,R,Werner Herzog,Nicolas Cage,Eva Mendes,Russell M. Haeuser,Val Kilmer,Crime,122,2009-09-11,31576138.38172437,2149844.962127745,13396393.952278629
1946,tt1099212,Twilight,2008,PG-13,Catherine Hardwicke,Kristen Stewart,Robert Pattinson,Billy Burke,Sarah Clarke,Drama,122,2008-11-20,46566420.347138695,244111839.1699605,514023648.7313693
1947,tt1103153,Killers,2010,PG-13,Robert Luketic,Katherine Heigl,Ashton Kutcher,Tom Selleck,Catherine O'Hara,Action,100,2010-06-02,93199682.65032837,58479648.22848259,121979698.67423967
1948,tt1104001,TRON: Legacy,2010,PG,Joseph Kosinski,Jeff Bridges,Garrett Hedlund,Olivia Wilde,Bruce Boxleitner,Action,125,2010-12-16,211252614.00741097,213815932.10051548,497142967.3575137
1949,tt1104733,Hamlet 2,2008,R,Andrew Fleming,Steve Coogan,Elisabeth Shue,Catherine Keener,Joseph Julian Soria,Comedy,92,2008-08-22,11326967.11146617,6149556.43683553,6198730.576722109
1950,tt1109624,Paddington,2014,PG,Paul King,Hugh Bonneville,Sally Hawkins,Julie Walters,Jim Broadbent,Adventure,95,2014-11-27,62953458.70505543,87301375.02128954,323740329.27894366
1951,tt1111422,The Taking of Pelham 123,2009,R,Tony Scott,Denzel Washington,John Travolta,Luis Guzmán,Victor Gojcaj,Action,106,2009-06-10,126304553.52689748,82669250.44463193,189666654.99293828
1952,tt1114740,Paul Blart: Mall Cop,2009,PG,Steve Carr,Kevin James,Keir O'Donnell,Jayma Mays,Raini Rodriguez,Action,91,2009-01-16,32839183.916993342,184829256.27122596,231577414.6470306
1953,tt1116184,Jackass 3D,2010,R,Jeff Tremaine,Johnny Knoxville,Steve-O,Bam Margera,Ryan Dunn,Action,95,2010-10-15,24853248.70675423,145676934.55460984,213347484.39960378
1954,tt1119646,The Hangover,2009,R,Todd Phillips,Zach Galifianakis,Bradley Cooper,Justin Bartha,Ed Helms,Comedy,100,2009-06-05,44206593.734414116,350270949.24376684,592760956.06315
1955,tt1120985,Blue Valentine,2010,R,Derek Cianfrance,Ryan Gosling,Michelle Williams,John Doman,Faith Wladyka,Drama,112,2010-12-27,1242662.4353377114,12061689.190666618,19187121.808205232
1956,tt1121096,Seventh Son,2014,PG-13,Sergei Bodrov,Ben Barnes,Julianne Moore,Jeff Bridges,Alicia Vikander,Action,102,2014-01-02,108737792.3087321,19713892.762613207,130689792.69992737
1957,tt1121977,Mother and Child,2009,R,Rodrigo García,Naomi Watts,Annette Bening,Kerry Washington,Alexandria M. Salling,Drama,125,2009-05-06,8841318.746882822,1402623.4343260138,7100805.370961653
1958,tt1121986,Money Fight,2012,PG-13,Adam Boster,Maria Conchita Alonso,Ving Rhames,John Savage,George Takei,Action,119,2012-09-21,5310961.958936211,10626.64477294703,10626.64477294703
1959,tt1124037,Free State of Jones,2016,R,Gary Ross,Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali,Keri Russell,Action,139,2016-06-24,56450436.86225819,23494712.4663864,28265806.29523306
1960,tt1124052,City of Life and Death,2009,R,Chuan Lu,Ye Liu,Wei Fan,Hideo Nakaizumi,Yuanyuan Gao,Drama,132,2009-05-07,15156546.423227698,154796.334711495,13498566.757808678
1961,tt1125849,The Wrestler,2008,R,Darren Aronofsky,Mickey Rourke,Marisa Tomei,Evan Rachel Wood,Mark Margolis,Drama,109,2008-12-17,7551311.407644112,33022190.61373971,56300891.395846784
1962,tt1125929,Love Ranch,2010,R,Taylor Hackford,Helen Mirren,Joe Pesci,Sergio Peris-Mencheta,Gina Gershon,Biography,117,2010-06-30,31066560.88344279,171344.50989654034,181613.87226217118
1963,tt1126591,Burlesque,2010,PG-13,Steve Antin,Cher,Christina Aguilera,Alan Cumming,Eric Dane,Drama,119,2010-11-24,68346433.94357413,49011420.393614486,111242859.1270591
1964,tt1126618,Morning Glory,2010,PG-13,Roger Michell,Rachel McAdams,Harrison Ford,Diane Keaton,Noah Bean,Comedy,107,2010-11-10,49706497.41350846,38537114.41116044,74610665.45621309
1965,tt1127180,Drag Me to Hell,2009,PG-13,Sam Raimi,Alison Lohman,Justin Long,Ruth Livier,Lorna Raver,Horror,99,2009-05-27,37891366.058069244,53175006.438283384,114738398.44231999
1966,tt1127896,Taking Woodstock,2009,R,Ang Lee,Demetri Martin,Henry Goodman,Edward Hibbert,Imelda Staunton,Biography,120,2009-08-26,37891366.058069244,9422577.354395745,12599810.078867516
1967,tt1129423,Fireproof,2008,PG,Alex Kendrick,Kirk Cameron,Erin Bethea,Ken Bevel,Stephen Dervan,Drama,122,2008-09-26,629275.9506370092,42106511.369976275,42127881.5812599
1968,tt1129445,Amelia,2009,PG,Mira Nair,Hilary Swank,Richard Gere,Ewan McGregor,Christopher Eccleston,Adventure,111,2009-10-23,50521821.41075899,17993963.061663024,24810112.071204502
1969,tt1130080,The Informant!,2009,R,Steven Soderbergh,Matt Damon,Tony Hale,Patton Oswalt,Lucas McHugh Carroll,Biography,108,2009-09-18,27787001.775917444,42080662.01340561,52758887.24537027
1970,tt1130884,Shutter Island,2010,R,Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley,Mystery,138,2010-02-18,99412994.82701692,159076864.31916574,366342098.9064736
1971,tt1131729,Pirate Radio,2009,R,Richard Curtis,Philip Seymour Hoffman,Bill Nighy,Nick Frost,Michael Hadley,Comedy,135,2009-04-01,63152276.76344874,10126994.269007212,45910169.343656346
1972,tt1131734,Jennifer's Body,2009,R,Karyn Kusama,Megan Fox,Amanda Seyfried,Adam Brody,Johnny Simmons,Comedy,102,2009-09-18,20208728.56430359,20467391.448607933,39856741.95672542
1973,tt1132620,The Girl with the Dragon Tattoo,2009,R,Niels Arden Oplev,Michael Nyqvist,Noomi Rapace,Ewa Fröling,Lena Endre,Crime,152,2009-02-27,16419591.958496671,12750659.396281295,131879889.12868178
1974,tt1132626,Saw V,2008,R,David Hackl,Scott Patterson,Costas Mandylor,Tobin Bell,Betsy Russell,Horror,92,2008-10-23,13592360.533759402,71418754.01610754,143303827.94122702
1975,tt1133985,Green Lantern,2011,PG-13,Martin Campbell,Ryan Reynolds,Blake Lively,Peter Sarsgaard,Mark Strong,Action,114,2011-06-15,240927540.35538527,140462167.8625761,264841010.57104373
1976,tt1134854,Survival of the Dead,2009,R,George A. Romero,Alan Van Sprang,Kenneth Welsh,Kathleen Munroe,Joshua Peace,Comedy,90,2009-05-06,5052182.141075898,128502.25275826549,487634.0941655752
1977,tt1135084,Takers,2010,PG-13,John Luessenhop,Chris Brown,Hayden Christensen,Matt Dillon,Michael Ealy,Action,107,2010-03-05,39765197.93080676,71757194.38309425,99668215.32331145
1978,tt1135487,Duplicity,2009,PG-13,Tony Gilroy,Julia Roberts,Clive Owen,Tom Wilkinson,Paul Giamatti,Comedy,125,2009-03-19,75782732.11613849,51245325.46949944,98740076.37642926
1979,tt1135503,Julie & Julia,2009,PG-13,Nora Ephron,Amy Adams,Meryl Streep,Chris Messina,Stanley Tucci,Biography,123,2009-08-06,50521821.41075899,118884699.06459026,163615577.9485124
1980,tt1135985,Sex Drive,2008,R,Sean Anders,Josh Zuckerman,Clark Duke,Amanda Crew,James Marsden,Comedy,109,2008-10-16,23912486.124206357,10574963.472176423,23605318.91297381
1981,tt1136608,District 9,2009,R,Neill Blomkamp,Sharlto Copley,David James,Jason Cope,Nathalie Boltt,Action,112,2009-08-13,37891366.058069244,146066460.78741664,266362346.73506203
1982,tt1137450,Death Wish,2018,R,Eli Roth,Bruce Willis,Vincent D'Onofrio,Elisabeth Shue,Camila Morrone,Action,107,2018-03-01,32373052.125189666,36707834.01960121,53483206.47652196
1983,tt1139328,The Ghost Writer,2010,PG-13,Roman Polanski,Ewan McGregor,Pierce Brosnan,Olivia Williams,Jon Bernthal,Drama,128,2010-02-18,55919809.59019702,19312899.129260372,74971622.85646807
1984,tt1139668,The Unborn,2009,PG-13,David S. Goyer,Odette Annable,Gary Oldman,Cam Gigandet,Meagan Good,Drama,88,2009-01-09,20208728.56430359,53894670.838596605,96640729.2378471
1985,tt1142977,Frankenweenie,2012,PG,Tim Burton,Winona Ryder,Catherine O'Hara,Martin Short,Martin Landau,Animation,87,2012-10-04,46028336.97744715,41651004.36405133,96176880.47579642
1986,tt1142988,The Ugly Truth,2009,R,Robert Luketic,Katherine Heigl,Gerard Butler,Bree Turner,Eric Winter,Comedy,96,2009-02-26,47995730.34022104,112303964.06018543,406299771.7037155
1987,tt1144884,The Final Destination,2009,R,David R. Ellis,Nick Zano,Krista Allen,Andrew Fiscella,Bobby Campo,Horror,82,2009-08-26,50521821.41075899,83964362.17995031,235137573.7277486
